Brands,Models,Transmission,Colour,Mileage,Year,Prices,
20,144,0,8,178632,11,5850,0.245689074
13,159,0,51,31540,3,11995,0.390156392
24,56,0,101,47003,1,12700,0.95578716
31,184,0,18,73439,4,23000,0.524055723
26,126,1,101,77246,2,18950,0.810485995
26,126,1,51,43206,3,17995,0.691409023
7,71,0,51,307376,12,2450,0.10322602
24,50,1,123,160333,5,13500,0.369123321
7,71,0,27,94200,5,11950,0.351904047
31,135,0,8,155142,6,13500,0.109890908
0,143,1,72,2,-1,119800,0.171318985
26,126,0,51,165000,4,13495,0.96235814
21,95,0,19,253500,7,6950,0.81849173
29,18,0,123,3944,0,11995,0.482598557
18,160,1,56,27680,2,64945,0.371074488
9,190,0,123,92002,3,18995,0.849267831
24,101,0,8,36657,1,23450,0.709762239
24,119,0,12,41438,1,18950,0.2965303
26,126,0,123,9656,0,24500,0.83557021
0,7,0,18,2,-1,35990,0.98419285
31,172,1,51,69000,2,34995,0.136980957
31,135,0,8,342947,9,5450,0.871322634
24,101,0,8,22200,1,24450,0.396677592
20,144,0,123,104605,4,15995,0.339771931
0,4,1,3,126652,3,24950,0.558338591
13,195,0,8,79617,9,6500,0.752899452
13,51,0,51,240249,9,4450,0.680787736
31,98,0,109,99987,5,13500,0.655698194
31,82,0,109,166653,14,2400,0.505342771
7,69,1,109,35405,5,13450,0.420420559
7,161,0,51,46670,1,31750,0.998918711
31,138,0,8,108132,10,6950,0.771667889
7,71,0,109,148800,7,9950,0.042330231
20,144,1,51,60028,3,20995,0.411592404
13,51,0,51,49826,3,16995,0.285037394
7,161,0,8,85293,3,21900,0.26569451
31,135,0,51,318968,9,5950,0.543525732
0,1,0,26,10,-1,37760,0.931058869
18,32,1,12,54884,3,27900,0.173020171
31,98,0,8,72000,2,18500,0.071061066
14,60,1,17,238176,9,15950,0.279287576
29,146,0,8,57858,4,18995,0.181022786
17,117,0,51,88907,7,8950,0.306426465
24,119,0,12,23189,1,17950,0.042057075
1,0,0,8,56099,4,17995,0.635304068
31,184,0,51,103535,2,27950,0.747646106
0,4,0,15,341596,8,8950,0.432241052
15,90,1,8,192000,12,4950,0.65727754
4,64,0,51,24,0,21750,0.028879824
31,138,0,101,$,0,17945,0.537088463
7,71,0,109,201163,12,2500,0.063270442
13,125,1,51,19563,1,26995,0.612434019
26,178,0,12,9999,0,38495,0.445726969
31,172,1,8,66786,2,34995,0.160623123
31,135,0,109,80141,2,26950,0.307150548
18,65,1,8,6962,0,57950,0.664745004
25,92,0,8,47698,3,12495,0.990148106
7,71,0,12,104605,5,11250,0.379372474
31,81,0,12,94046,2,16500,0.669585055
2,175,0,50,74028,7,6250,0.998867932
0,2,0,3,182656,2,20950,0.030293509
26,178,0,18,157711,4,18450,0.184061295
32,202,1,12,8999,1,43995,0.802466828
24,50,0,51,36048,1,17450,0.777497536
25,25,0,123,16999,1,29495,0.573579416
0,4,1,22,162217,3,23950,0.575798347
24,188,0,123,14,0,30250,0.643119601
31,135,0,8,100300,3,20500,0.843845833
31,98,1,8,133931,6,10450,0.02966359
31,81,0,51,298607,7,8500,0.611885422
13,176,0,51,73830,2,24995,0.555481386
18,65,1,8,145371,4,21995,0.693504434
